-140,120,27
-140,140,28
-140,160,29
-120,100,41
-120,120,42
-120,140,43
-120,160,44
-100,40,54
-100,60,55
-100,80,56
-100,100,57
-100,120,58
-100,140,59
-100,160,60
-100,180,61
-80,0,70
-80,20,71
-80,40,72
-80,60,73
-80,80,74
-80,100,75
-80,120,76
-80,140,77
-80,160,78
-60,-20,90
-60,0,91
-60,20,92
-60,40,93
-60,60,94
-60,80,95
-60,100,96
-60,120,97
-60,140,98
-60,160,99
-40,-20,118
-40,0,119
-40,20,120
-40,40,121
-40,60,122
-40,80,123
-40,100,124
-40,120,125
-40,140,126
-40,160,127
-20,0,149
-20,20,150
-20,40,151
-20,60,152
-20,80,153
-20,100,154
-20,120,155
-20,140,156
-20,160,157
0,20,180
0,40,181
0,60,182
0,80,183
0,100,184
0,120,185
0,140,186
20,40,210
20,60,211
20,80,212
20,100,213
20,120,214
20,140,215
40,60,236
40,80,237
40,100,238
40,120,239
60,80,262
